[2023-06-26 23:53:18] [WARN] - Klassengruppe PKE15A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe KOE16B bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe PME16A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe AUM16A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe DRO15A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe DRO16A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:18] [WARN] - Klassengruppe PRM16B bereits vorhanden
[2023-06-26 23:53:19] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:19] [WARN] - Klassengruppe PMG15B bereits vorhanden
[2023-06-26 23:53:19] [WARN] - Klassengruppe REF18A bereits vorhanden
[2023-06-26 23:53:19] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:19] [WARN] - Klassengruppe KOE16B bereits vorhanden
[2023-06-26 23:53:19] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:19] [WARN] - Klassengruppe KOE16B bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe AUM16A bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe AUM16A bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe AUF16A bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe AUF16B bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe INF15A bereits vorhanden
[2023-06-26 23:53:20] [WARN] - Klassengruppe INF15S bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe REF16B bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe REF16A bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe INF16S bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe BM1_TE15B bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe PKE15A bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe BM2_TE18B bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe INF16B bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe PRM16A bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe AUM16A bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe PRM16C bereits vorhanden
[2023-06-26 23:53:21] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe DRO15A bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe PKB15A bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe INF16S bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe WTG16A bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe PMG16A bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe KOE16C bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe REF16B bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe REF16B bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe PMG15A bereits vorhanden
[2023-06-26 23:53:22] [WARN] - Klassengruppe KOE16B bereits vorhanden
[2023-06-26 23:53:23] [WARN] - Klassengruppe KOE17A bereits vorhanden
